Name,epsilon,sigma
Ra,203.30076,3.27583
Cl,114.23087,3.51638
Al,254.12595,4.00815
Be,42.77367,2.44552
Re,33.21250,2.63171
Cr,7.54830,2.69319
Na,15.09659,2.65755
Sb,225.94565,3.93777
Cf,6.54186,2.95155
Kr,110.70833,3.68921
Ni,7.54830,2.52481
S,137.88220,3.59478
CH4,148.00000,3.73000
Fm,6.03864,2.92749
Ru,28.18030,2.63973
Tl,342.18940,3.87274
re,0.00010,5.00000
Tm,3.01932,3.00589
C_CO2, 27.00000,2.80000
W,33.71572,2.73417
O,30.19318,3.11815
Nd,5.03220,3.18496
Tb,3.52254,3.07449
Th,13.08371,3.02549
Zr,34.72216,2.78317
F,25.16099,2.99698
Co,7.04508,2.55866
Fr,25.16099,4.36540
Gd,4.52898,3.00055
Rh,26.67064,2.60944
Pu,8.05152,3.05044
Lw,5.53542,2.88295
Ar,93.09564,3.44600
Ca,119.76629,3.02816
Cm,6.54186,2.96313
N,34.72216,3.26069
As,155.49489,3.76850
Yb,114.73409,2.98897
Se,146.43693,3.74623
Y,36.23182,2.98006
Am,7.04508,3.01213
Pt,40.25758,2.45354
I,170.59148,4.00904
Fe,6.54186,2.59430
Ba,183.17197,3.29900
Hf,36.23182,2.79831
Es,6.03864,2.93907
Po,163.54640,4.19524
Eu,4.02576,3.11191
C,52.83807,3.43085
Zn,62.39924,2.46155
Cs,22.64489,4.02419
Mn,6.54186,2.63795
Rn,124.79849,4.24513
Bk,6.54186,2.97471
Ir,36.73504,2.53015
Rb,20.12879,3.66516
In,301.42860,3.97608
Hg,193.73958,2.40988
Te,200.28144,3.98232
At,142.91439,4.23177
Bi,260.66780,3.89323
Cu,2.51610,3.11369
Tc,24.15455,2.67091
Sn,285.32557,3.91283
Pa,11.07083,3.05044
Lu,20.63201,3.24287
Mo,28.18030,2.71902
Ac,16.60625,3.09855
U,11.07083,3.02460
Li,12.58049,2.18359
Er,3.52254,3.02104
Ta,40.76080,2.82415
S_H2S,122.00000,3.60000
Cd,114.73409,2.53728
Os,18.61913,2.77960
Ti,8.55473,2.82860
B,90.57955,3.63754
V,8.05152,2.80099
H_H2S,50.00000,2.50000
Si,202.29432,3.82641
Ga,208.83618,3.90481
Au,19.62557,2.93373
Mg,55.85739,2.69141
K,17.61269,3.39611
Ag,18.11591,2.80455
Sc,9.56117,2.93551
Ge,190.72027,3.81305
Nb,29.68996,2.81969
Ce,6.54186,3.16804
Pm,4.52898,3.16002
Pd,24.15455,2.58272
Dy,3.52254,3.05400
Sr,118.25663,3.24376
Ho,3.52254,3.03707
No,5.53542,2.89364
O_CO2,79.00000,3.05000
Sm,4.02576,3.13596
Br,126.30814,3.73197
Pb,333.63466,3.82819
Xe,167.06894,3.92352
Np,9.56117,3.05044
P,153.48201,3.69456
La,8.55473,3.13775
Md,5.53542,2.91680
H,22.14167,2.57113
Pr,5.03220,3.21258
He,28.18319,2.10430
